33,2010,4,5,3,2,1,1,60000,14,4,3000,1,1,2,1,28000,1
2,2007,3,5,1,2,1,1,0,7,2,4000,1,1,2,1,31800,1
31,2013,5,4,1,2,1,1,0,1,4,1600,1,1,2,1,27000,1
31,2013,4,5,1,2,2,1,0,14,4,2000,1,1,2,1,28000,1
31,2013,5,5,1,2,1,1,0,14,4,3800,1,1,2,1,51000,1
31,2013,4,4,1,1,1,1,0,14,4,1600,1,1,2,1,28500,1
31,2013,5,5,1,1,1,1,0,7,4,3500,1,1,2,1,51000,1
2,2016,5,7,1,2,1,2,0,7,4,4500,1,1,2,1,99900,1
2,2016,5,6,1,2,1,1,0,3,4,4000,1,1,2,1,66500,1
2,2016,4,4,2,3,2,1,1,14,4,2700,1,1,1,1,42000,1
2,2016,5,5,2,3,1,1,1,3,4,3500,1,1,2,1,68000,1
2,2016,5,4,2,2,1,1,1,14,4,4000,1,1,2,1,68000,1
2,2017,5,7,2,2,1,1,1,14,4,4000,1,1,2,1,66000,1
2,2017,5,5,2,2,1,1,1,2,4,2500,1,1,2,1,43500,1
31,2017,5,5,2,2,1,1,1,1,3,2000,1,1,2,1,31900,1
10,2016,5,6,2,2,1,1,25,14,4,3500,1,1,2,1,49000,1
10,2013,4,4,2,1,2,1,42,1,2,2000,1,1,2,1,32800,1
2,2014,4,5,3,3,1,1,2000,12,4,4000,1,1,2,1,40000,1
2,2014,2,2,3,3,1,1,7000,1,4,4000,1,1,2,1,37000,1
2,2015,3,2,2,2,2,1,8000,3,4,4000,1,1,2,1,49000,1
2,2011,5,5,3,2,2,1,14000,3,4,4000,1,1,2,1,69500,1
2,2014,5,5,3,2,1,1,20300,14,4,4000,1,1,2,1,55500,1
2,2014,2,2,3,3,1,1,27358,3,4,2700,1,1,2,1,30000,1
10,2012,4,4,3,1,2,1,32154,7,3,2000,1,1,2,1,38200,1
33,2009,5,4,3,2,2,1,38000,6,4,2400,1,1,2,2,25500,1
33,2009,5,5,3,2,2,1,75000,3,3,2400,1,1,2,1,25000,1
2,2013,5,5,3,2,1,1,75639,3,4,2500,1,1,2,1,28800,1
33,2010,5,5,3,2,1,1,85000,14,3,3200,1,1,2,1,27500,1
33,2016,3,4,2,1,2,1,30500,11,6,1300,1,1,2,1,14500,3
36,2017,4,4,3,1,2,1,59000,1,4,1600,1,1,1,1,11500,3
33,2014,5,5,3,2,1,1,67000,4,4,1586,1,2,1,2,13200,3
35,2016,4,4,2,1,1,1,71000,3,4,2500,1,1,2,1,13200,3
33,2012,3,4,2,1,2,1,71200,14,3,1300,1,1,2,1,12400,3
12,2011,5,4,3,1,1,1,81504,3,4,2500,1,2,1,1,12900,3
19,2006,2,4,3,1,1,1,100000,2,4,4000,1,1,1,1,13000,3
33,2013,3,4,3,2,2,1,150000,4,4,1600,1,1,2,1,13500,3
5,2007,2,2,3,3,1,1,251057,14,4,3700,1,1,2,2,15000,3
10,2014,4,4,3,1,2,1,25000,3,4,1200,1,1,2,1,13200,3
12,2009,4,4,3,1,1,1,46670,10,3,1800,1,1,2,1,12800,3
12,2004,2,2,3,1,1,1,62764,6,3,3500,1,1,2,1,13900,3
33,1998,4,4,4,1,2,1,85000,10,5,1600,1,2,2,1,10200,3
2,2001,4,4,3,3,1,1,90123,1,3,4700,1,1,2,1,14900,3
2,2009,4,4,3,1,1,1,112654,7,4,2000,1,1,2,1,14900,3
22,2020,2,2,3,3,2,1,5000,14,4,2000,1,1,2,1,14000,3
28,2011,5,5,3,1,1,1,22320,14,3,1497,1,1,2,2,12300,3
10,2014,5,5,3,1,2,1,25000,3,4,1200,1,1,2,1,13200,3
23,2018,3,4,3,2,2,1,31406,7,4,1690,1,1,2,1,12900,3
27,2016,5,5,2,2,2,1,49000,1,4,1500,1,1,2,1,14900,3
36,2016,4,5,3,1,1,1,81000,11,4,1600,1,1,2,1,11200,3
2,1995,5,5,3,2,1,1,89000,3,3,2000,1,2,2,2,12200,3
19,2008,2,2,3,3,1,1,107826,14,3,3000,1,1,2,2,11900,3
4,2020,5,5,2,2,2,1,25000,1,4,1500,1,1,2,1,12000,3
35,2016,5,4,3,1,2,1,28000,4,2,1600,1,1,2,2,11500,3
35,2019,4,4,2,1,2,1,32600,3,2,1600,1,1,2,1,12000,3
28,2019,5,5,2,1,2,1,35900,1,2,1500,1,1,2,2,11500,3
28,2015,5,4,3,1,2,1,69000,4,4,1500,1,1,2,1,10300,3
9,2016,5,5,3,1,1,1,113000,1,4,2500,1,1,2,1,21000,2
2,2021,5,5,2,1,1,1,3500,14,4,1000,1,1,2,2,15500,2
33,2021,5,5,2,2,2,1,13705,14,2,1400,1,1,1,1,21900,2
2,2017,5,5,2,2,1,1,20000,4,4,2500,1,1,1,2,24700,2
10,2017,5,5,2,2,1,1,29000,5,4,2000,1,1,2,1,23000,2
33,2017,4,5,2,2,2,1,32000,4,2,1600,1,1,1,1,18500,2
2,2014,4,5,2,3,2,1,37500,4,4,4000,1,1,1,1,22500,2
12,2018,5,5,2,2,1,1,39491,2,4,1600,1,1,1,1,20800,2
12,2016,5,5,2,3,2,1,57000,11,2,2000,1,1,2,1,20000,2
20,2014,5,5,2,2,1,1,60000,14,4,2000,1,1,2,1,18500,2
12,2016,2,2,2,3,2,1,60000,14,3,2500,1,1,1,1,16200,2
12,2016,5,5,2,2,1,1,63000,1,4,2000,1,1,1,2,19500,2
36,2000,3,4,3,1,2,1,150000,14,4,1300,1,2,2,1,5000,5
30,2020,2,3,2,1,1,3,850,14,4,800,1,1,2,1,3900,5
30,2020,3,3,2,1,1,1,850,14,4,800,1,1,2,1,3900,5
35,1981,2,4,3,1,2,1,30000,9,4,3000,2,1,2,1,2500,5
3,2009,4,4,3,1,1,1,90000,7,3,1300,1,1,2,1,8300,4
12,1995,5,5,3,2,1,1,180000,1,4,3000,1,1,2,2,8900,4
2,1998,5,5,3,1,1,1,281260,9,4,1587,1,2,1,1,10000,4
30,2021,2,3,1,1,2,3,0,14,3,3000,1,1,2,1,5950,4
13,2002,3,4,3,1,2,1,89234,10,2,1800,1,2,2,2,9600,4
10,1990,4,7,4,4,1,2,100000,14,4,2500,1,2,2,2,6100,4
33,2012,5,4,3,1,2,1,111111,3,4,1000,1,1,2,2,6800,4
10,2009,4,4,3,1,1,1,120000,7,4,2000,1,2,2,2,9500,4
4,2016,4,4,3,1,2,2,123456,14,4,1500,1,2,2,2,8000,4
33,2014,5,4,3,1,2,1,149000,7,4,1000,2,2,2,2,6200,4
8,2002,4,4,3,1,1,1,180000,14,4,2600,2,1,2,2,9500,4
12,1992,5,4,4,2,2,1,200000,7,2,3000,1,2,2,2,6000,4
26,2008,4,4,3,1,1,1,200000,7,4,1800,1,1,2,2,9500,4
2,1995,4,4,3,1,2,1,208064,1,3,1500,2,2,2,2,8800,4
2,1988,2,3,2,3,2,1,1000,3,4,2000,1,1,2,1,8800,4
26,2009,3,2,2,1,1,1,11778,12,1,1800,1,1,2,1,9000,4
8,1895,4,5,3,1,2,1,386242,1,2,1900,2,1,2,1,5500,4
18,1997,4,4,3,1,2,1,100000,9,4,2500,1,1,2,1,8900,4
